date,station_id,site,station,year,month,day,Tmin_bom,Tmax_bom,tmp_bom,tmp_nasa,tmp_era5
22-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,22,-0.4,4.5,2.05,12.62,8.959732946
21-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,21,-1.3,2.1,0.4,10.1,7.271693166
20-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,20,-2.1,2.1,0,9.38,5.98420105
19-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,19,-0.5,1.4,0.45,9.52,5.4754673
18-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,18,-0.8,5.3,2.25,11.14,7.58127238
17-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,17,-0.9,3.7,1.4,8.94,6.641718165
16-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,16,-3.8,0.5,-1.65,7.85,5.045197423
15-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,15,-4.8,-0.5,-2.65,6.28,3.336577988
14-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,14,-2,-1.5,-1.75,6.41,0.968518194
13-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,13,-1.7,5.9,2.1,9.84,7.012743251
11-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,11,4.4,10.3,7.35,12.33,8.134968694
10-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,10,-0.9,11.4,5.25,11.89,10.0426562
09-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,9,-0.6,6.3,2.85,10.71,7.292005157
08-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,8,0.1,4.3,2.2,11.62,7.96514918
07-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,7,-1.2,6.7,2.75,11.38,8.320292409
06-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,6,4.4,13.3,8.85,17.41,11.16783485
05-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,5,3.1,11.2,7.15,17.05,14.78455887
04-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,4,-0.5,8.6,4.05,10.95,12.05845858
03-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,3,-3.9,5.8,0.95,9.25,6.119365946
02-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,2,-3.5,-0.4,-1.95,9.03,3.220728811
01-09-2024,85291,Walhalla,Mount Baw Baw,2024,9,1,0.9,4.8,2.85,12.88,8.146264648
31-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,31,0.4,4.3,2.35,11.84,8.183393097
30-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,30,-0.3,5,2.35,13.16,7.918354289
29-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,29,-2.1,4.4,1.15,10.58,8.904720561
28-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,28,0.7,3.4,2.05,11.8,5.383002218
27-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,27,1.6,6.9,4.25,13.62,11.33097992
26-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,26,1.2,4,2.6,11.89,8.940973536
25-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,25,5,10,7.5,14.46,10.48935343
24-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,24,3.2,10.3,6.75,15.03,10.57424062
23-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,23,0.3,7.9,4.1,11.4,10.53772507
22-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,22,-0.3,4.7,2.2,11.33,6.900824483
21-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,21,2.8,3.6,3.2,12.51,8.262210464
20-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,20,2.6,4.9,3.75,10.94,9.455250676
19-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,19,1.3,7.9,4.6,9.65,7.663852946
17-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,17,-0.2,2.9,1.35,9.77,6.657491938
16-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,16,4.6,6.8,5.7,12.12,8.31667099
15-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,15,5.1,12.5,8.8,13.59,9.895730591
14-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,14,3.4,9.9,6.65,13.13,9.295967992
13-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,13,3.1,8.1,5.6,11.84,8.838316218
12-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,12,4.3,11.2,7.75,11.15,8.706541951
11-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,11,2,10.8,6.4,10.38,6.996919886
10-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,10,-0.1,7.1,3.5,10.08,5.72311554
09-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,9,0.6,4.3,2.45,10.35,6.154337819
08-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,8,-0.2,4.6,2.2,8.34,7.650299962
07-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,7,-0.7,3.8,1.55,9.27,6.225949224
06-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,6,-1.7,1.2,-0.25,8.2,5.59732399
05-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,5,-0.6,1.6,0.5,7.43,3.92634608
04-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,4,-1.2,5,1.9,7.69,4.384058253
03-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,3,-0.3,3.2,1.45,7.44,4.293688711
02-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,2,0.5,6.1,3.3,7.25,5.007613754
01-08-2024,85291,Walhalla,Mount Baw Baw,2024,8,1,0.7,7.6,4.15,7.08,3.375711695
31-07-2024,85291,Walhalla,Mount Baw Baw,2024,7,31,-0.7,8.8,4.05,5.68,3.628530757
30-07-2024,85291,Walhalla,Mount Baw Baw,2024,7,30,-6,6,0,6.04,2.621524429
29-07-2024,85291,Walhalla,Mount Baw Baw,2024,7,29,-4,0,-2,5.73,2.828567123
28-07-2024,85291,Walhalla,Mount Baw Baw,2024,7,28,-4.6,-1.9,-3.25,5.13,0.602360662
